Functional ID,Title,Type,Module,Epic,Feature,Stories,Segment ,Description,Tags and Aliases,Roles,isFocus,isCrit,Responsible (QA),Responsible (Dev),Accountable,Consulted,Informed,Automation Status,Maturity,Container,Database,Subsystems involved,External Services
front.auth.admin,[Feature]: Admin Login,Feature ,FRONT,Auth,авторизация админов,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.auth.admin,[Feature]: Admin Login As,Feature ,FRONT,Auth,авторизация админов Login AS,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
,,Stories,FRONT,Auth,,Создание акаунта Free | Member,Workflow,,,,FALSE,FALSE,,,,,,,,,,,
,,Stories,FRONT,Auth,,Изменение Настроек акка в Dashbord,Workflow,,,,FALSE,FALSE,,,,,,,,,,,
account,[Epic]: Account Managment,Epic,FRONT,Account Managment,──┐,,UX /CX,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.change_email,[Feature]: Change Email,Feature ,FRONT,Account Managment,change Email,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.change_password,[Feature]: change password,Feature ,FRONT,Account Managment,change password,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.forgot_password,[Feature]: Fogod password,Feature ,FRONT,Account Managment,Fogod password,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.unblock,[Feature]: unblock / block,Feature ,FRONT,Account Managment,unblock / block,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.change_username,[Feature]: change username,Feature ,FRONT,Account Managment,change username,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
,,Stories,FRONT,Account Managment,,Сброс пароля,API,Через письмо,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.favorites,[Epic]:  Favorites,Epic,FRONT,favorites,──┐,,UX /CX,,,,FALSE,FALSE,Данил,,,,,,,,,,
,,Feature ,FRONT,favorites,Добавление / удаление,,UX /CX,,,,FALSE,FALSE,Данил,,,,,,,,,,
,,Feature ,FRONT,favorites,Интеграция с уведомлениями,,Integration,,,,FALSE,FALSE,Данил,,,,,,,,,,
,,Page,FRONT,favorites,Просмотр в дашборде,,UI,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.dashboard.easy_cancel,[Epic]: Easy Cancel,Epic,FRONT,EasyCancel,──┐,,UX /CX,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.dashboard.easy_cancel.btn,Easy Cancel btn,Feature ,FRONT,EasyCancel,Отображение кнопки Cancel Subscrubshion,,UX /CX,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.dashboard.easy_cancel.questions,Easy Cancel Вопросы при отмене,Feature ,FRONT,EasyCancel,Вопросы,,UX /CX,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.dashboard.easy_cancel.questions,Easy Cancel - Pop-up с EXCLUSIVE DEAL,Feature ,FRONT,EasyCancel,EXCLUSIVE DEAL,,UX /CX,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.dashboard.easy_cancel.cancel,Easy Cancel - Cancel recurrent,Feature ,FRONT,EasyCancel,EXCLUSIVE DEAL,,API,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
DCP,[Epic]: Creators DCP,Epic,FRONT,Creators DCP,──┐,,,,,,FALSE,FALSE,Максим,F Фёдор,,,,,,,,,
front.dashboard.DCP,Dashboard: Creators,Feature ,FRONT,Creators DCP,Creators_dashboard,,Workflow,Формы и пр,DCP.dashboard,,FALSE,FALSE,Степан,,,,,,,,,,
front.dashboard.DCP.statistics,Dashboard: Creator Stats,Feature ,FRONT,Creators DCP,DCP → statistics,,Workflow,Аналитика хитов и выплат,DCP.statistics,,FALSE,FALSE,Максим,,,,,,,,,,
front.notification,[Epic]: User Notifications,Epic,FRONT,notification,──┐,,UX /CX,,,,FALSE,FALSE,Никита,F Данил,,,,,,VRSmash_content,Postgress,,
front.notification.event,[Feature]:,Service ,FRONT,notification,Контентные - Event notification,,Integration,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.notification.forum,[Feature]:,Service ,FRONT,notification,Forum Notifications,,Integration,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.notification.marketing,[Feature]:,Service ,FRONT,notification,Кастомные- маркетинговые notification,,Logic,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.notification.DreamCam,[Feature]:,Service ,FRONT,notification,VR Cams Notifications,,Integration,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.notification.SO,[Feature]:,Service ,FRONT,notification,notification - Creators,,Logic,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.video_player,[Element]: Video Player,Epic,FRONT,video player,──┐,,UX /CX,,,,FALSE,FALSE,Данил,F Влад,,,,,,,,,
front.element.video_player.UI,[Feature]:,Element,FRONT,video player,,,UI,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.element.video_player.UX,[Feature]:,Feature ,FRONT,video player,Flat,,UX /CX,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.element.video_player.Delight_XR,[Feature]:,Feature ,FRONT,video player,WebXR - plaer Delight XR - Video VR,,Integration,,,,FALSE,FALSE,Данил,,,,,,,,,,
,Лайки,,,,,,,,,,FALSE,FALSE,Максим,,,,,,,,,,
front.dowload,[Epic]: Download Video,Epic,FRONT,download_video,──┐,,UX /CX,,,,FALSE,FALSE,Данил,F Александр,,,,,,,,,
front.dowload,[Feature]:,Feature ,FRONT,download_video,модалка качества вёрстка,,UI,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.dowload,[Feature]:,Feature ,FRONT,download_video,модалка качества логика,,UX /CX,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.dowload,,Service ,Infra,download_video,S3 и CDN,,Integration,,,,FALSE,FALSE,Данил,,,,,,,,,,
dreamcam,[Module]: Dream Cam,Module,DREM CAM,Dream Cam,──┐,,,,,,FALSE,FALSE,Степан,B Владимир,,,,,,,,,
front.dreamcam,[Service]: Dreamcam,Service ,DREM CAM,Dream Cam,Dream Cam,,Integration,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dreamcam.stream,,Service ,FRONT,Dream Cam,BabylonJS - WebCam VR,,Integration,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.pages.dreamcam,[Page]: Dreamcam,Page,FRONT,Dream Cam,dreamcam,,UX /CX,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dreamcam.transactions,Token Transactions,Service ,FRONT,Dream Cam,Оплаты при взаимодейстии,,Integration,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.dreamcam.chat,,,FRONT,Dream Cam,Chat,,,,,,FALSE,FALSE,Степан,,,,,,,,,,
forum,[Module]: Forum,Module,Flarum,forum,──┐,,,,,,FALSE,FALSE,Степан,B Мария,,,,,,,,,
front.services.forum,[Service]: Flarum,Service ,FORUM,forum,Flarum,,Integration,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.element.comments,[Element]: Comments,Element,FORUM,forum,comments,,UI,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.Anounsement,[Epic]: Announcements Front,Epic,FRONT,Announcements,──┐,,,,,,FALSE,FALSE,Никита,B Павел,,,,,,,,,
front.element.value_popup,[Feature]: Value Pop-Up,Feature ,FRONT,Announcements,value-pop-up,,UX /CX,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.value_popup,[Element]: Value Pop-Up,Element,FRONT,Announcements,value-pop-up,,UI,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.header_bar,[Feature]: Header Bar,Feature ,FRONT,Announcements,header bar,,UX /CX,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.header_bar,[Element]: Header Bar,Element,FRONT,Announcements,header bar,,UI,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.ad_banner,[Feature]: Ad Banner,Feature ,FRONT,Announcements,AD-Banner,,UX /CX,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.ad_banner,[Element]: Ad Banner,Element,FRONT,Announcements,AD-Banner,,UI,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.announcement_slider,[Feature]:  Announcement Slider,Feature ,FRONT,Announcements,Slider,,UX /CX,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.element.announcement_slider,[Element]: Announcement Slider,Element,FRONT,Announcements,Slider,,UI,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.search,[Epic]: Поиск контента,Epic,FRONT,Search,──┐,,UX /CX,,,,FALSE,FALSE,Данил,D Сергей,,,,,,,,,
front.search.quick,[Element]: Search Pop up,Element,FRONT,,быстрый поиск,,UI,,,,FALSE,FALSE,Данил,,,,,,,,,,
search.page,[Page]: Search result,Page,FRONT,,страница поиска,,UI,,"front.search.page, front.page.search",,FALSE,FALSE,Данил,,,,,,,,,,
front.GUI,"Страницы, элементы фронта",Epic,FRONT,Навигация по фронту,──┐,,UX /CX,,,,FALSE,FALSE,,,,,,,,,,,
,,Feature ,FRONT,,Разделение контента по статусу подписки,,UX /CX,,,,FALSE,FALSE,Максим,,,,,,,,,,
,,Feature ,FRONT,,Разделение контента по ролям,,UX /CX,,,,FALSE,FALSE,Максим,,,,,,,,,,
catalog.List_view,[Element]: Catalog - List view,Element,FRONT,,Отображение видом List,,UI,,"front.list_view, front.catalog.list_view",,FALSE,FALSE,Данил,,,,,,,,,,
page.splash,[Page]: Splash,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.main,[Page]: Main,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.soft,[Page]: Soft,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.catalogs.all_video,[Page]: All VR Video (All / New),Page,FRONT,,,,,,"front.page.all_video, page.all_video",,FALSE,FALSE,,,,,,,,,,,
page.catalogs.categories,[Page]: Categories,Page,FRONT,,,,,,"front.page.categories, page.categories",,FALSE,FALSE,,,,,,,,,,,
page.catalogs.pornstars,[Page]: Pornstars,Page,FRONT,,,,,,"front.page.pornstars, page.pornstars",,FALSE,FALSE,,,,,,,,,,,
page.catalogs.studios,[Page]: Studios,Page,FRONT,,,,,,"front.page.studios, page.studios",,FALSE,FALSE,,,,,,,,,,,
page.catalogs.DreamCam,[Page]: Vr Cams - Catalog,Page,FRONT,,,,,,"front.page.DreamCam, page.DreamCam",,FALSE,FALSE,,,,,,,,,,,
page.single.video,[Page]: Single video,Page,FRONT,,,,,,"front.pages.single_video, pages.video, pages.single_video",,FALSE,FALSE,,,,,,,,,,,
page.single.model,[Page]: Single model,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.single.studio,[Page]: Single studio,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.single.steam,[Page]: Vr Cams - Steam,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.single.category,[Page]: Single Category,Page,FRONT,,,,,Отдельные категории. В том числе и CGI и Japanise,,,FALSE,FALSE,,,,,,,,,,,
page.single.sections,[Page]: Gay -Trans - Fmail POV,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.dashboard,[Page]: Dashboard,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.404,[Page]: 404,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.text,[Page]: Text pages,Page,FRONT,,,,,,,,FALSE,FALSE,,,,,,,,,,,
page.static,[Page]: Static page,Page,FRONT,,,,,"How to, Play'a, F.A.Q.",,,FALSE,FALSE,,,,,,,,,,,
page.forms,[Page]: Forms pages,Page,FRONT,,,,,"Contact page, Complaints page, Content Creators ",,,FALSE,FALSE,Степан,,,,,,,,,,
page.Maintenance,[Page]: Maintenance,Page,FRONT,,,,,Maintenance,,,FALSE,FALSE,Данил,,,,,,,,,,
element.header,,Element,FRONT,,,,UI,,,,FALSE,FALSE,,,,,,,,,,,
element.footer,,Element,FRONT,,,,UI,,,,FALSE,FALSE,,,,,,,,,,,
element.aside,,Element,FRONT,,,,UI,,,,FALSE,FALSE,,,,,,,,,,,
element.bottommenu,,Element,FRONT,,,,UI,,,,FALSE,FALSE,Данил,,,,,,,,,,
UnZip,[Module]:  Интеграция с UnZip ,Module,UnZip,UnZip,──┐,,Integration,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
UnZip.cookies,[Feature]: Добавление куки по кьюверти параметрам,Feature ,UnZip,UnZip,Cookies - ,,Integration,,,,FALSE,FALSE,Анатолий,,,,,,,vrb web,"БД - **MySQL**
контейнер - `vrb web`
таблица - account user data
поле - `field_name` со значениями  `affiliate_info` (завязано на инвойсах])",,
UnZip.cookies,[Feature]: Установление связи Аффилейт - рефирал,Feature ,UnZip,UnZip,Установление связи Аффилейт - рефирал,,Integration,,,,FALSE,FALSE,Анатолий,,,,,,,vrb web,"БД - **MySQL**
контейнер - `vrb web`
таблица - account user data
поле - `field_name` со значениями  `affiliate_info` (завязано на инвойсах])",,
UnZip.statistic,[Feature]: Пердача UnZip,Feature ,UnZip,UnZip,Передача статистики,,API,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.seo,[Module]: SEO,Module,SEO,SEO,──┐,,Perfom,,,,FALSE,FALSE,Максим,,,,,,,,,,
front.seo,,Feature ,SEO,SEO,,,Logic,,,,FALSE,FALSE,,,,,,,,,,,
,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
vrb_web,[Module]: VRB WEB,Module,VRB WEB,──┐,,,,Bangercave,,,FALSE,FALSE,,,,,,,,,,,
vrb_web.account.authorization,[Epic]: Account Authorization,Epic,VRB WEB,Authorization,──┐,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
vrb_web.account.jwt,Account JWT Auth,Feature ,VRB WEB,Authorization,jwt,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
email,[Epic]: EMail,Epic,,EMail,──┐,,Integration,,vrb_web.email,,FALSE,FALSE,Анатолий,,,,,,,,,,
,[Feature]:,Feature ,VRB WEB,,Управление шаблоном кастомных писем,,Integration,,,,FALSE,FALSE,Степан,,,,,,,,,,
,Sendgrid ,Module,Sendgrid ,EMail,Sendgrid,,Integration,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
,[Feature]: ,Service ,Sendgrid ,EMail,,,Integration,,,,FALSE,FALSE,,,,,,,,,,,
vrb_web.drop_carts,[Service]: Drop Carts,Service ,VRB WEB,EMail,drop-carts,,Workflow,https://bitbucket.org/itspecial/vrp_web/src/test/app/Subscription/resources/components/bangercave/DropcartEmails/DropcartEmailList.vue,,,FALSE,FALSE,Анатолий,,,,,,,,,,
vrb_web.email.drop_carts,[Feature]: Emails: Drop Carts,Feature ,VRB WEB,EMail,drop-carts,,API,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
EasyCancel,[Epic]: EasyCancel,Epic,VRB WEB,EasyCancel,──┐,,,,vrb_web.EasyCancel,,FALSE,FALSE,Анатолий,,,,,,,,,,
vrb_web.easycancel.statistics,EasyCancel: Statistics,,VRB WEB,EasyCancel,Easy Cancel statistics,,,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
payment_tools,[Epic]:  Payment Tools,,VRB WEB,payment_tools,──┐,,,,vrb_web.memberships.payment_tools,,FALSE,FALSE,Анатолий,,,,,,,,,,
,,,VRB WEB,payment_tools,,,,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
,,,VRB WEB,payment_tools,,,,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
payments.transactions,Payments: Transactions,,VRB WEB,payment_tools,transactions,,,,vrb_web.payments.transactions,,FALSE,FALSE,Анатолий,,,,,,,VRB WEP,,,
payments.billers.cascade,Payments: Cascade,,VRB WEB,payment_tools,Cascade,,,,vrb_web.payments.billers.cascade,,FALSE,FALSE,Анатолий,,,,,,,,,,
webcam.token_price,WebCam: Token Price,,VRB WEB,payment_tools,Token_Price,,,,vrb_web.webcam.token_price,,FALSE,FALSE,Анатолий,,,,,,,,,,
webcam.token_transactions,WebCam: Token Transactions,,VRB WEB,payment_tools,Token_transctions,,,,vrb_web.webcam.token_transactions,,FALSE,FALSE,Анатолий,,,,,,,,,,
payments.billers.epoch,Payments: Epoch,Service ,VRB WEB,Epoch,Интеграция с Epoch,,Integration,,vrb_web.payments.billers.epoch,,FALSE,FALSE,Анатолий,,,,,,,,,,
,[Epic]: Anounsement,,VRB WEB,Anounsement,──┐,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
vrb_web.value_popup,Value Pop-Up Core,,VRB WEB,Anounsement,Value_pop_up,,,Управление настроками отображения на фронте ,,,FALSE,FALSE,Никита,,,,,,,,,,
vrb_web.header_bar,Value Pop-Up Core,,VRB WEB,Anounsement,Header_bar,,,Управление настроками отображения на фронте ,,,FALSE,FALSE,Никита,,,,,,,,,,
,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
Content,Content,Module,Content,──┐,,,,,,,FALSE,FALSE,,,,,,,,,,,
playa,[Epic]:  PLAYa,Service ,PLAYA,Playa ,──┐,,Integration,,,,FALSE,FALSE,Максим,,,,,,,,,,
,Интеграция с приложением PLAYa,Service ,PLAYA,Playa ,PLAYa API v2,,Integration,,,,FALSE,FALSE,Максим,,,,,,,,,,
content.marketing.ad_banner,Marketing: Ad Banner,,Content,Content,AD-Banner,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
content.marketing.announcement_slider,Marketing: Announcement Slider,,Content,Content,Anounsement slider,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
content.posts.post_video_game,Posts: Video Game,,Content,Content,Post_Video_Game,,,,,,FALSE,FALSE,Никита,,,,,,,vrsmash_content,Postgress,,
content.posts.post_video,Posts: Video,,Content,Content,Post video,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
QenCode,,Service ,QenCode,Content,QenCode,,Integration,,,,FALSE,FALSE,Никита,,,,,,,,,,
content.posts.post_studio,Posts: Studio,,Content,Content,Post_Studio,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
content.posts.post_model,Posts: Model,,Content,Content,Post_Model,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
content.pages,Content Pages,,Content,Content,Pages,,,Управление статичными страницами,,,FALSE,FALSE,Данил,,,,,,,,,,
content.menus,Content Menus,,Content,Content,Menus,,,Управление меню,,,FALSE,FALSE,Данил,,,,,,,,,,
content.seo,   [Epic]: SEO - Content admin,Epic,SEO,Content,SEO,,,Настройки СЕО,,,FALSE,FALSE,Анатолий,,,,,,,,,,
content.feeds,,Feature ,Content,,,,API,,,,FALSE,FALSE,,,,,,,,,,,
,,Service ,Search,Search,,,Integration,,,,FALSE,FALSE,Данил,,,,,,,,,,
,,,Content,Media,Функционал загрузки медиа,,,,,,FALSE,FALSE,Никита,,,,,,,,,,
,,,Content,SiteSettig,,,,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
ACP,ACP,Module,ACP,──┐,,,,,,,FALSE,FALSE,,,,,,,,,,,
acp.statistics,ACP Statistics,Epic,ACP,ACP,statistics,,,,,,FALSE,FALSE,Максим,,,,,,,,,,
acp.payout_tools,ACP Payout Tools,Epic,ACP,ACP,ACP/Payout_tools,,,,,,FALSE,FALSE,Максим,,,,,,,,,,
acp.payout_tools.to_approve,ACP to Approve,Feature ,ACP,ACP,ACP/Payout_tools,,,,,,FALSE,FALSE,Максим,,,,,,,,,,
acp.payout_tools.to_pay,ACP to Pay,Feature ,ACP,ACP,ACP/Payout_tools,,,,,,FALSE,FALSE,Максим,,,,,,,,,,
acp.payout_tools.history,ACP Payout History,Feature ,ACP,ACP,ACP/Payout_tools,,,,,,FALSE,FALSE,Максим,,,,,,,,,,
acp.settings,ACP Settings,Epic,ACP,ACP,ACP/Settings,,,,,,FALSE,FALSE,Степан,,,,,,,,,,
acp.creators_moderations,ACP Moderations,Epic,ACP,ACP,ACP/Creators_moderations,,,,,,FALSE,FALSE,Степан,,,,,,,,,,
Infra,Infra,Module,Infra,──┐,,,,,,,FALSE,FALSE,,,,,,,,,,,
Infra,,,,Cloudflare ,,,,,,,FALSE,FALSE,,,,,,,,,,,
Infra,,,,Nuxt 3,,,,,,,FALSE,FALSE,,,,,,,,,,,
Infra,,,,S3 / CDN,,,,,,,FALSE,FALSE,,,,,,,,,,,
Infra,,,,SSR / Hybrid Rendering,,,,,,,FALSE,FALSE,,,,,,,,,,,
,,,,Кроссбраузерность,,,,,,,FALSE,FALSE,,,,,,,,,,,
